"id","code","organizationid"
"009f98bd-a1cc-48d0-a0b7-f597bbd6da6a","LU","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"039a76a2-9cef-4e00-9885-5287c2e76679","RS","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"0a551ece-3e1c-4272-ab87-5fde3289a358","GR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"0e0901cc-e759-4d7f-811d-249f494ede39","KW","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"0ffdc36a-2162-44fc-9ac9-f915868bbcc1","SG","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"23a95f6c-f647-49aa-b13e-df2777f8382a","RE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"28e52f0a-af63-4905-9ec8-9a9f275bbc7f","DO","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"2e4deda7-dd3a-426b-a488-176a526c1aad","GT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"303342da-96fa-42e6-9525-23f5ce168496","SR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"3340d63d-6722-411a-a16f-5dcf3c55b127","AD","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"37ae4b32-5a40-4a48-baa3-2767ddd69fa8","US","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"39155979-6acc-4b6d-bbe6-2218e0abb6d2","VE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"3cd935af-abe2-4df4-80b5-dc1751703aae","AE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"3ed63ca5-9cba-4363-bb4d-41c59bc1cf49","FR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"428a5b50-e323-4391-b837-5922c46977da","HN","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"430e27d3-f07b-4403-993f-7dc3e954d6bc","IT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"45512ddb-bcfd-4399-8d25-7c620c567674","GY","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"49e45ef3-199a-47d3-b497-e489eec9e85a","GB","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"4a7d3d1c-a2d6-4345-85c3-5dbd557632a8","EC","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"4dfafdd9-1522-4f03-bb5f-79c1bda32b71","PL","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"54b814f6-96e3-45b1-97b0-2691d2298c27","NI","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"554d24ba-90eb-4a17-b657-18d622f49896","CA","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"583a2d2d-7799-4031-bae4-62229b76a462","SC","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"5b8e0375-8d55-4f10-b703-33ff29598b93","SI","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"5c1574a3-0fb2-4d0e-9074-633da7aa4747","TT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
